"","title","location","design","size","modelling_used","internal_validation","ROB","exposures","outcomes","temporal_ordering","mediators","unmeasured_biases","causal_framework","modelling_type"
"70","Increased mean platelet volume in children with sepsis as a predictor of mortality","Turkey (Izmir)","Retrospective PICU cohort","186","Multivariate logistic regression; ROC; KaplanMeier","None","High  retrospective; single centre; no validation","MPV at admission and 72h; platelet count; ventilatory support","28day mortality","Yes","No","Retrospective data; controls missing","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"71","Identification of progranulin as a novel diagnostic biomarker for earlyonset sepsis in neonates","China (Chongqing)","Prospective cohort","152","ROC; multivariate logistic regression","None","Moderate  prospective; single centre; no validation","Serum progranulin; IL33; PCT; CRP","Earlyonset neonatal sepsis diagnosis","Yes","No","Single centre; biomarker timing","No explicit causal framework","Other (non-modelling) approaches used; Logistic regression"
"72","Identification of potential transcriptomic markers in developing pediatric sepsis: a WGCNA study","China (Suzhou)","Bioinformatic WGCNA  qPCR","117","WGCNA; hubgene analysis; qPCR validation","qPCR validation cohort","Moderate  in silico  small validation","Expression of MYBL1; KLRG1; STOM; MS4A4A","Pediatric sepsis vs healthy status","No","No","Batch effects; small sample","No explicit causal framework","Gene co-expression/network; Other (non-modelling) approaches used"
"73","Identification of new biomarkers and immune infiltration characteristics of sepsis in very low birth weight infants","China (Hangzhou)","Bioinformatic machinelearning study","109","WGCNA; LASSO; SVMRFE; ssGSEA","External GEO validation","Moderate  in silico; public data","GYG1; RETN gene expression","Sepsis vs control (VLBW infants)","No","Immune cell infiltration","Dataset heterogeneity","No explicit causal framework","Gene co-expression/network; Penalised regression; SVM; Gene-set enrichment"
"74","Identification of glycolysisrelated signature and molecular subtypes in child sepsis through machine learning","China (multicentre datasets)","Bioinformatic LASSO  consensus clustering","740","GSVA; LASSO; logistic regression; consensus clustering","External validation datasets","Moderate  in silico; multiple datasets","GNPDA2; PRKACB; TGFBI expression","Pediatric sepsis diagnosis; subtype stratification","No","Immune checkpoint expression","Batch correction issues","Metabolicimmune model","Gene-set enrichment; Penalised regression; Logistic regression; Clustering"
"75","Identification of a novel clinical phenotype of severe malaria using a networkbased clustering approach","Gambia (Banjul)","Retrospective registry clustering","2915","Sparse PCA; network clustering; survival","Cluster stability resampling","Moderate  observational; unsupervised","13 clinical variables incl. coma score, BNP","Mortality phenotypes","No","No","Missing data; measurement error","Network phenotype framework","PCA; Clustering; Other (non-modelling) approaches used"
"76","Identification and verification of feature biomarkers associated with immune cells in neonatal sepsis","China (Guangzhou)","Bioinformatic DEG  LASSO","143","DEG; LASSO; logistic regression; ssGSEA","Independent dataset validation","Moderate  in silico; limited validation","PROS1; TDRD9; RETN; LOC728401; METTL7B; NSUN7","Neonatal sepsis diagnostic risk score","No","Immune infiltration patterns","Small validation cohort","Immune gene model","Differential expression; Penalised regression; Logistic regression; Gene-set enrichment"
"77","Hypothermia or hyperthermiaassociation with outcomes in critically ill children with sepsis","China (Beijing)","Retrospective PICU cohort","1144","LOWESS; multivariate logistic regression","None","High  retrospective; no validation","Average temperature first 24h","Inhospital mortality; length of stay","Yes","No","Missing variables; single centre","Temperaturemortality model","Spline regression; Logistic regression"
"78","Metabolomic analysis reveals potential biomarkers and the underlying pathogenesis involved in Mycoplasma pneumoniae pneumonia","China (Beijing and Sanya)","Prospective discoveryvalidation metabolomics","186","Random Forest classifier; multivariate LCQTOF MS; ROC","Independent blinded validation cohort (AUC 0.93)","Moderate  prospective; validation present; small cohorts","Plasma metabolite panel (glycerophospholipids, sphingolipids)","Mycoplasma pneumoniae pneumonia vs healthy/infectious controls; severity subgroup","Yes","Lipid metabolism damage","Batch effects; age matching","Metabolomic pathway hypothesis","Random forest; Other (non-modelling) approaches used"
"79","Machine learning used to compare diagnostic accuracy of risk factors, clinical signs and biomarkers and to develop a new prediction model for neonatal earlyonset sepsis","Multicountry Europe and Canada (Lucerne lead)","Prospective multicentre cohort with ML model","1677","Extreme Gradient Boosting; 10fold crossvalidation","10fold CV; internal test set AUC 0.88","Moderate  prospective; internal validation only","Maternal risk factors; clinical signs; CRP; PCT","Cultureconfirmed / clinical EONS","Yes","No","Site heterogeneity; missingness imputed","Prediction not causal","Gradient-boosted trees; Other (non-modelling) approaches used"
"80","LymphocytetoCreactive protein ratio as an early biomarker to distinguish sepsis from pneumonia in neonates","China (Zhengzhou)","Retrospective hospital cohort","1635","Binary logistic regression; ROC (AUC 0.72)","None","High  retrospective; singlecentre; no validation","LCR (lymphocyte count / CRP)","Sepsis among neonates with pneumonia","No","No","Culture sensitivity; retrospective","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"81","Lower incidence of respiratory infections among irondeficient children in Kilimanjaro, Tanzania","Tanzania (Kilimanjaro)","Prospective community cohort","283","Logistic regression; Cox models for incident infections","None","Moderate  cohort; small sample; potential confounding","Iron status (transferrin receptor, anemia, ferritin)","Incident physiciandiagnosed respiratory infections","Yes","No","Nutritional confounders; measurement error","Nutritional immunity hypothesis","Logistic regression; Cox PH model"
"82","Leukopenia, neutropenia, and procalcitonin levels in young febrile infants with invasive bacterial infections","USA multicentre PECARN network","Secondary analysis prospective cohort","6865","Multivariate logistic regression; stratified ROC","None (exploratory)","Moderate  large prospective; secondary analysis; no validation","WBC 2500, ANC 1000, PCT","Invasive bacterial infection (bacteremia/meningitis)","Yes","No","Subset PCT availability; low leukopenia prevalence","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"83","Lactate dehydrogenasetoalbumin ratio as an independent factor for 28day mortality of neonatal sepsis","China (Nanjing)","Retrospective NICU cohort","130","Cox regression; ROC (AUC 0.81)","None","High  retrospective; single centre; no validation","LDH/albumin ratio on admission","28day mortality (overall, EOS, LOS subgroup)","Yes","No","Small sample; retrospective data quality","No explicit causal framework","Cox PH model; Other (non-modelling) approaches used"
"84","Lactate clearance and mortality in pediatric sepsis","Indonesia (Manado)","Prospective cohort","45","Logistic regression; optimal lactate clearance cutoff","None","Moderate  prospective; small sample; no validation","6h lactate clearance (%)","PICU mortality","Yes","No","Small cohort; single centre","Perfusion physiology model","Logistic regression; Other (non-modelling) approaches used"
"85","Laboratory evidence of disseminated intravascular coagulation is associated with a fatal outcome in children with cerebral malaria","Malawi (Blantyre)","Prospective observational study","140","ISTH DIC scoring; multivariate logistic regression","None","Moderate  prospective; no validation; single region","DIC score components; thrombomodulin, TAT","Case fatality in cerebral malaria","Yes","Thrombomodulin level","No bleeding endpoints; lab availability","Coagulationinflammation hypothesis","Risk-scoring models; Logistic regression"
"86","Kawasaki disease shock syndrome: clinical characteristics and possible use of IL6, IL10 and IFN as biomarkers for early recognition","China (Zhejiang)","Retrospective matched cohort","70","ROC analysis for cytokines; logistic regression","None","Moderate  retrospective; small sample; no validation","Serum IL6, IL10, IFN thresholds","KD shock syndrome vs typical KD; IVIG resistance; CAAs","No","Cytokine storm","Retrospective; selection bias","Cytokine pathogenesis model","Other (non-modelling) approaches used; Logistic regression"
"87","Iron status and associated malaria risk among African children","Kenya and Uganda community cohorts","Prospective longitudinal cohorts","2683","Poisson regression for incident malaria; adjusted models","None","Moderate  large cohort; survey biomarkers; no validation","Iron deficiency (ferritin, TSAT), hepcidin, sTfR","Incident malaria episodes over 6months","Yes","No","Seasonality; residual confounding","Nutritional immunity hypothesis","Poisson regression; Other (non-modelling) approaches used"
"88","Platelettolymphocyte and neutrophiltolymphocyte ratio as predictive biomarkers for earlyonset neonatal sepsis","China (Jilin)","Descriptive crosssectional","124","Logistic regression; ROC","None","High  crosssectional; no validation","NLR; PLR; platelet, neutrophil and lymphocyte counts","Earlyonset neonatal sepsis","No","No","Single centre; retrospective sampling","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"89","Platelet parameters and (1, 3)-_-D-Glucan as a diagnostic and prognostic marker of invasive fungal disease in preterm infants","China (Shanghai)","Casecontrol","264","ROC analysis; univariate comparisons","None","Moderate  casecontrol; no validation","Platelet indices; serum Dglucan","Invasive fungal disease; mortality","No","No","Retrospective selection; culture limitations","No explicit causal framework","Other (non-modelling) approaches used"
"90","Plasma neutrophil gelatinaseassociated lipocalin: a marker of acute pyelonephritis in children","South Korea (Seoul)","Retrospective diagnostic cohort","138","Multivariate logistic regression; ROC","None","Moderate  retrospective; no validation","Plasma NGAL; PCT; CRP; WBC","Acute pyelonephritis vs lower UTI","Yes","No","Imaging confirmation variability","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"91","Olfactomedin4 identifies a pathogenic neutrophil subset in pediatric septic shock","USA (Cincinnati, OH)","Prospective cohort","94","Logistic regression; transcriptomic and proteomic analyses","None","Moderate  exploratory; no validation","% OLFM4 neutrophils","Complicated course / mortality","Yes","No","Limited size; single centre","Neutrophil subset model","Logistic regression; Other (non-modelling) approaches used"
"92","N-terminal pro-brain natriuretic peptide levels associated with severe hand, foot and mouth disease","China (Xian)","Retrospective casecontrol","216","Logistic regression; ROC","None","Moderate  retrospective; no validation","NTproBNP; EV71; PCT; WBC","Severe HFMD; mortality","Yes","No","Retrospective data; limited virology","Cardiac dysfunction model","Logistic regression; Other (non-modelling) approaches used"
"93","Interleukin27 as a novel biomarker for neonatal earlyonset sepsis","China (Chongqing)","Prospective diagnostic cohort","151","Logistic regression; ROC","None","Moderate  prospective; no validation","Plasma IL27; PCT; CRP; cytokine panel","Earlyonset neonatal sepsis","Yes","No","Single centre; assay complexity","Cytokine pathway model","Logistic regression; Other (non-modelling) approaches used"
"94","Multiparameter flow cytometry leukocyte markers for diagnosis in preterm neonatal sepsis","Mexico (Mexico City)","Prospective casecontrol","60","Decision tree; ROC","None","Moderate  exploratory; small sample","CD45RO; CD27; TREM1; HLADR","Lateonset sepsis diagnosis","No","No","Technical variability","Immunophenotyping model","Decision tree / CART; Other (non-modelling) approaches used"
"95","Mortality caused by lateonset sepsis in very low birth weight infants: risk analysis and diagnostic tool performance","Turkey (Antalya)","Retrospective VLBW cohort","256","Multivariate logistic regression","None","High  retrospective; single NICU","CRP; mechanical ventilation; leukopenia; thrombocytopenia","Mortality in LOS","Yes","No","Retrospective record limits","Risk factor model","Logistic regression"
"96","miRNAs as noninvasive diagnostic and prognostic tools in neonatal sepsis","Egypt (Cairo)","Prospective casecontrol","140","Logistic regression; ROC","None","Moderate  prospective; single centre","miR1; miR124; miR34a","Neonatal sepsis diagnosis; outcome prediction","Yes","No","Small cohort; single site","miRNA immune modulation","Logistic regression; Other (non-modelling) approaches used"
"97","miRNA23b as a biomarker of culturepositive neonatal sepsis","Algeria (Tlemcen)","Prospective observational","48","Correlation; ROC","None","Moderate  very small sample; exploratory","miR23b plasma levels","Culturepositive sepsis; mortality","Yes","No","Small sample; assay variability","miRNA immune response","Other (non-modelling) approaches used"
"98","Predictors of disease severity in children presenting from the community with febrile illnesses: a systematic review of prognostic studies","Multicountry (systematic review)","Systematic review of prognostic factors","24530","Narrative synthesis; likelihood ratios","Not applicable","High  heterogeneous studies; mostly high risk of bias","Malnutrition; hypoxia; altered consciousness; acidosis markers; perfusion signs","Progression to severe disease within 30days","Yes (prognostic)","No","Publication bias; heterogeneity; selection bias","No explicit causal framework","Other (non-modelling) approaches used"
"99","Predictors of disease severity and outcomes in pediatric patients with croup and COVID19 in the pediatric emergency department","Taiwan","Retrospective dualcenter cohort","250","Multivariate logistic regression; ROC of NLR","None","High  retrospective; limited validation","Neutrophiltolymphocyte ratio; age; ALT; PCT; pH","Westley score 3; ICU admission","Yes","No","Single country; missing labs","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"100","Predictive value of serum Btype natriuretic peptide in neonatal sepsis","Iran (Tabriz)","Prospective casecontrol","100","ROC analysis; cutoff 9583pg/mL","None","Moderate  single centre; small sample; no validation","NTproBNP level","Neonatal sepsis diagnosis; inhospital mortality","Yes","No","Single site; culture confirmation limits","No explicit causal framework","Other (non-modelling) approaches used"
"101","Predictive value of Creactive proteintoalbumin ratio for neonatal sepsis","China (Zhengzhou)","Retrospective hospital cohort","1076","Multivariate logistic regression; ROC (AUC0.74)","None","High  retrospective; single centre; no validation","CRP/albumin ratio tertiles","Presence and severity of neonatal sepsis","No","No","Retrospective biases; laboratory timing","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"102","Predictive role of platelettoalbumin ratio and LDHtoalbumin ratio in refractory suppurative meningitis in infants","China (Anhui)","Retrospective cohort","107","Multivariate logistic regression; ROC","None","Moderate  retrospective; small sample","PAR; LAR; CSF glucose","Refractory suppurative meningitis vs common","Yes","No","Single centre; limited controls","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"103","Predictive factors for bacteremia in febrile infants with urinary tract infection","South Korea (Seoul)","Retrospective cohort","463","Multivariate logistic regression; ROC (AUC0.86)","None","Moderate  retrospective; single tertiary centre","Age 90days; DNI; CRP; VUR","Concomitant bacteremic UTI","Yes","No","Retrospective; imaging variability","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"104","Predictive accuracy of infant clinical sign algorithms for mortality in young infants: a systematic review","Global (systematic review)","Systematic review of prediction models","24530","Meta narrative; AUC range 0.760.93","Varies (external validation scarce)","High  heterogeneity; limited external validation","Clinical sign checklists; regressionbased scores","Allcause mortality 59days","Yes","No","Publication bias; variable outcome definitions","No explicit causal framework","Other (non-modelling) approaches used"
"105","Predicting outcomes of targeted temperature management for children with seizures and/or impaired consciousness accompanied by fever","Japan (Kobe)","Retrospective cohort","73","Univariate and multivariate logistic regression","None","Moderate  retrospective; small sample","Acute circulatory failure; 4 anticonvulsants; AST 73IU/L","Poor neurological outcome postTTM","Yes","No","Single centre; preTTM variability","No explicit causal framework","Logistic regression"
"106","Potential genes and pathways of neonatal sepsis based on functional gene set enrichment analyses","China (Shandong)  public microarray","Bioinformatic enrichment analysis","117","FPCA; elasticnet; MannWhitney U; coexpression network","None (in silico)","Moderate  exploratory bioinformatics","Pathway gene scores (PIK3CA, TGFBR2, KRAS etc.)","Neonatal sepsis vs control (transcriptomic)","No","No","Batch effects; small public datasets","Pathway enrichment model","PCA; Penalised regression; Other (non-modelling) approaches used; Gene co-expression/network"
"107","Pointofcare procalcitonin testing for identifying bacterial infections in young infants: a diagnostic accuracy study","UK (Belfast)","Prospective observational diagnostic study","126","ROC analysis; PCT cutoff 1ng/mL","None","Moderate  prospective; single ED; no external validation","Pointofcare PCT level","Invasive bacterial infection (culturepositive)","Yes","No","Single centre; small number of IBIs","Diagnostic accuracy framework","Other (non-modelling) approaches used"
"108","Procalcitonin vs. combination of microESR and Creactive protein for diagnosing neonatal bacterial sepsis","Indonesia (Palembang)","Prospective casecontrol","94","ROC analysis; sensitivity/specificity comparison","None","Moderate  single centre; small sample; no validation","Serum procalcitonin; CRP; microESR","Cultureproven neonatal bacterial sepsis","Yes","No","Convenience sampling; assay timing","Diagnostic accuracy framework","Other (non-modelling) approaches used"
"109","Procalcitonin testing to guide antibiotic therapy for sepsis and suspected bacterial infection: systematic review and costeffectiveness","UK and Netherlands (systematic review)","Systematic review decision model","18 RCTs (~6000 patients)","Metaanalysis; decision tree model","Not applicable","High  heterogeneous trials; paediatric data sparse","PCTguided antibiotic algorithms","Antibiotic duration; mortality; costeffectiveness","Yes","No","Publication bias; heterogeneity","Economic evaluation","Random-effects meta-analysis; Decision tree / CART"
"110","Procalcitonin measured within first days of cardiac surgery predicts postoperative infections in neonates","France (Le PlessisRobinson)","Retrospective matched casecontrol","144","ROC; cutoff optimisation","None","Moderate  retrospective; single centre","Postoperative PCT; CRP","Postcardiacsurgery infection (POD4)","Yes","No","Matching residual confounding","No explicit causal framework","Other (non-modelling) approaches used"
"111","Procalcitonin as predictor of bacterial infection in meconium aspiration syndrome","India (Delhi)","Prospective comparative","70","ROC; sensitivity/specificity","None","Moderate  single centre; small sample","Serum PCT at 6 h","Culturepositive infection in MAS","Yes","No","Culture yield; inflammatory elevation","No explicit causal framework","Other (non-modelling) approaches used"
"112","Procalcitonin and Creactive protein as early diagnostic markers of sepsis/septic shock in children in the emergency department","Saudi Arabia (Riyadh)","Retrospective ED cohort","208","Multivariate logistic regression","None","High  retrospective; single centre","Admission PCT; CRP; fever grade; comorbidity","Sepsis or septic shock; PICU admission","Yes","No","Retrospective design; data quality","No explicit causal framework","Logistic regression"
"113","Presepsin level as risk factor for mortality in premature infants with neonatal sepsis","Indonesia (Bandung)","Prospective cohort","62","ROC; relative risk","None","Moderate  single centre; small sample","Admission presepsin level","7day mortality","Yes","No","Small sample; assay cost","No explicit causal framework","Other (non-modelling) approaches used"
"114","Presepsin as an early predictor of neonatal sepsis","Egypt (Minia)","Prospective comparative","80","ROC; sensitivity/specificity","None","Moderate  small prospective study","Cord and peripheral presepsin","Neonatal sepsis diagnosis","Yes","No","Assay availability; small size","No explicit causal framework","Other (non-modelling) approaches used"
"115","Presepsin as a predictor of positive blood culture among newborns with suspected sepsis","Japan (Nagano)","Prospective diagnostic study","66","ROC; cutoff optimisation","None","Moderate  small singlecentre study","Plasma presepsin","Blood culture positivity","Yes","No","Small sample; pretermterm mix","No explicit causal framework","Other (non-modelling) approaches used"
"116","Umbilical cord presepsin predicts earlyonset sepsis in preterm infants with PROM","Egypt (Mansoura)","Prospective cohort","288","Logistic regression; ROC","None","Moderate  single centre; no external validation","Cord presepsin level","Earlyonset neonatal sepsis","Yes","No","Culture yield; PROM confounding","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"117","Predictors of serious bacterial infections using serum biomarkers in infants 090 days","Singapore","Prospective cohort","187","Multivariate logistic regression; ROC","None","Moderate  single ED study; no validation","WBC; ANC; NLR; CRP","Serious bacterial infection","Yes","No","Single site; small SBI numbers","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"118","Risk stratification of childhood infection using host markers of immune and endothelial activation (Spot Sepsis)","Bangladesh; Cambodia; Indonesia; Laos; Vietnam","Prospective multi-country cohort","3405","Logistic regression; AUROC comparisons","Yes (bootstrap cross-validation)","Moderate (prospective but biomarker analysis)","Plasma biomarkers: Ang-1, Ang-2, sFlt-1, CHI3L1, CRP, IP-10, IL-6, IL-8, IL-10, IL-1ra, PCT, sTNFR-1, sTREM-1, suPAR; WHO danger signs; age; vitals","Composite of death or vital-organ support within 48h","Yes","Endothelial activation mediating infection severity","Spectrum bias; missing biomarkers","Implicit prognostic framework","Logistic regression; Other (non-modelling) approaches used"
"119","Risk Factors of Neonatal Acute Respiratory Distress Syndrome Based on the Montreux Definition in Neonates with Sepsis","China (Chongqing)","Retrospective casecontrol","213","Multivariable logistic regression","No","High (singlecenter retrospective)","Prematurity; cesarean delivery; earlyonset sepsis; septic shock; birth weight; maternal steroids","Development of NARDS during admission","Yes","None","Residual confounding","None","Logistic regression"
"120","Risk factors and predictive markers for early and lateonset neonatal bacteremic sepsis in preterm and term infants","Taiwan","Retrospective cohort","169","Logistic regression; ROC for PCT/CRP cutoffs","No","High (retrospective; no validation)","Blood PCT; CRP; hemogram indices; gestational age; invasive procedures","Cultureconfirmed bacteremic sepsis (early vs late onset)","Yes (labs at suspicion  outcome within episode)","None","Selection bias (NICU population)","None","Logistic regression; Other (non-modelling) approaches used"
"121","Responses to bacteria, virus, and malaria distinguish the etiology of pediatric clinical pneumonia","Mozambique","Casecontrol diagnostic study","90","Classification tree; SVM; logistic regression","Splitsample validation","Moderate","56 plasma protein biomarkers","Etiologic class (bacterial vs viral vs malarial pneumonia)","Yes","Host immune response pathways","Misclassification of etiology","None","Decision tree / CART; SVM; Logistic regression"
"122","Respiratory syncytial virusassociated pneumonia in primary care in Malawi","Malawi","Prospective cohort","494","Univariate logistic regression","No","Moderate (singlecentre)","Age; term birth; season; breastfeeding; household crowding; micronutrient supplementation","WHO severe RSV communityacquired pneumonia","Yes","None","Confounding by healthcare access","None","Logistic regression"
"123","Renal resistive index by pointofcare ultrasound to predict sepsisassociated acute kidney injury in critically ill children","India","Prospective observational","79","ROC analysis; multivariable logistic regression","No","Moderate","Early renal resistive index; urine NGAL; eGFR","KDIGO stage2/3 AKI by day3","Yes","Renal perfusion","Operator variability of ultrasound","None","Other (non-modelling) approaches used; Logistic regression"
"124","Relationship between lactate levels and 28day mortality in pediatric sepsis: results from the PIC database","China (database study)","Retrospective database cohort","288","Cox proportional hazards with restricted cubic spline","No","High (retrospective EHRbased)","Admission serum lactate","28day mortality; ICU mortality","Yes","Hypoperfusion","Residual confounding, selection bias","None","Cox PH model"
"125","Radiographic pneumonia in febrile infants 60days and younger","USA (multicentre)","Prospective cohort (PECARN network)","1724","Multivariable logistic regression","Internal bootstrap","Lowmoderate","Age; fever height; hypoxia; viral testing; labs","Radiographic pneumonia on chest Xray","Yes","None","Observer variability in radiograph reading","None","Logistic regression"
"126","Prognostication of the development of septic complications in children with burn injuries","Ukraine","Mixed retrospectiveprospective cohort","161","ROC analysis; logistic regression","No","High","Burn size (TBS, DBA, DSI); burn etiology; PCT; CRP; lactate; age","Sepsis development; MODS; mortality","Yes","Inflammatory response to burns","Measurement bias of biomarkers","None","Other (non-modelling) approaches used; Logistic regression"
"127","Prognostic value of highsensitivity Creactive protein, procalcitonin and pancreatic stone protein in pediatric sepsis","China (Hubei)","Prospective cohort","214","Multivariate logistic regression; ROC analysis","No","Moderate","Admission hsCRP; PCT; PSP levels","28day mortality","Yes","None","Singlecentre","None","Logistic regression; Other (non-modelling) approaches used"
"128","Risk stratification of childhood infection using host markers of immune and endothelial activation (Spot Sepsis)","Bangladesh; Cambodia; Indonesia; Laos; Vietnam","Prospective multi-country cohort","3405","Logistic regression; AUROC comparisons","Yes (bootstrap cross-validation)","Moderate (prospective but biomarker analysis)","Plasma biomarkers: Ang-1, Ang-2, sFlt-1, CHI3L1, CRP, IP-10, IL-6, IL-8, IL-10, IL-1ra, PCT, sTNFR-1, sTREM-1, suPAR; WHO danger signs; age; vitals","Composite of death or vital-organ support within 48h","Yes","Endothelial activation mediating infection severity","Spectrum bias; missing biomarkers","Implicit prognostic framework","Logistic regression; Other (non-modelling) approaches used"
"129","Risk Factors of Neonatal Acute Respiratory Distress Syndrome Based on the Montreux Definition in Neonates with Sepsis","China (Chongqing)","Retrospective casecontrol","213","Multivariable logistic regression","No","High (singlecenter retrospective)","Prematurity; cesarean delivery; earlyonset sepsis; septic shock; birth weight; maternal steroids","Development of NARDS during admission","Yes","None","Residual confounding","None","Logistic regression"
"130","Risk factors and predictive markers for early and lateonset neonatal bacteremic sepsis in preterm and term infants","Taiwan","Retrospective cohort","169","Logistic regression; ROC for PCT/CRP cutoffs","No","High (retrospective; no validation)","Blood PCT; CRP; hemogram indices; gestational age; invasive procedures","Cultureconfirmed bacteremic sepsis (early vs late onset)","Yes (labs at suspicion  outcome within episode)","None","Selection bias (NICU population)","None","Logistic regression; Other (non-modelling) approaches used"
"131","Responses to bacteria, virus, and malaria distinguish the etiology of pediatric clinical pneumonia","Mozambique","Casecontrol diagnostic study","90","Classification tree; SVM; logistic regression","Splitsample validation","Moderate","56 plasma protein biomarkers","Etiologic class (bacterial vs viral vs malarial pneumonia)","Yes","Host immune response pathways","Misclassification of etiology","None","Decision tree / CART; SVM; Logistic regression"
"132","Respiratory syncytial virusassociated pneumonia in primary care in Malawi","Malawi","Prospective cohort","494","Univariate logistic regression","No","Moderate (singlecentre)","Age; term birth; season; breastfeeding; household crowding; micronutrient supplementation","WHO severe RSV communityacquired pneumonia","Yes","None","Confounding by healthcare access","None","Logistic regression"
"133","Renal resistive index by pointofcare ultrasound to predict sepsisassociated acute kidney injury in critically ill children","India","Prospective observational","79","ROC analysis; multivariable logistic regression","No","Moderate","Early renal resistive index; urine NGAL; eGFR","KDIGO stage2/3 AKI by day3","Yes","Renal perfusion","Operator variability of ultrasound","None","Other (non-modelling) approaches used; Logistic regression"
"134","Relationship between lactate levels and 28day mortality in pediatric sepsis: results from the PIC database","China (database study)","Retrospective database cohort","288","Cox proportional hazards with restricted cubic spline","No","High (retrospective EHRbased)","Admission serum lactate","28day mortality; ICU mortality","Yes","Hypoperfusion","Residual confounding, selection bias","None","Cox PH model"
"135","Radiographic pneumonia in febrile infants 60days and younger","USA (multicentre)","Prospective cohort (PECARN network)","1724","Multivariable logistic regression","Internal bootstrap","Lowmoderate","Age; fever height; hypoxia; viral testing; labs","Radiographic pneumonia on chest Xray","Yes","None","Observer variability in radiograph reading","None","Logistic regression"
"136","Prognostication of the development of septic complications in children with burn injuries","Ukraine","Mixed retrospectiveprospective cohort","161","ROC analysis; logistic regression","No","High","Burn size (TBS, DBA, DSI); burn etiology; PCT; CRP; lactate; age","Sepsis development; MODS; mortality","Yes","Inflammatory response to burns","Measurement bias of biomarkers","None","Other (non-modelling) approaches used; Logistic regression"
"137","Prognostic value of highsensitivity Creactive protein, procalcitonin and pancreatic stone protein in pediatric sepsis","China (Hubei)","Prospective cohort","214","Multivariate logistic regression; ROC analysis","No","Moderate","Admission hsCRP; PCT; PSP levels","28day mortality","Yes","None","Singlecentre","None","Logistic regression; Other (non-modelling) approaches used"
"138","Analysis of etiology and risk factors for 192 cases of neonatal sepsis","China (Jilin)","Retrospective hospital cohort","192","Univariate and multivariate logistic regression","None","High  retrospective; no validation","Birth weight; prematurity; invasive mechanical ventilation; central line; G bacteria vs G pathogens","Occurrence of neonatal sepsis; pathogen distribution","Yes","No","Single centre; incomplete records","No explicit causal framework","Logistic regression"
"139","Surface triggering receptor expressed on myeloid cells1 (sTREM1) in critically ill children: a prospective study","Egypt (Cairo)","Prospective PICU cohort","98","ROC; logistic regression","None","Moderate  single centre; small sample","Admission plasma sTREM1; CRP; PCT","Sepsis diagnosis; 28day mortality","Yes","No","Assay cost; single site","No explicit causal framework","Other (non-modelling) approaches used; Logistic regression"
"140","Serum sRAGE as a potential biomarker for pediatric bronchiolitis: a pilot study","Spain (Madrid)","Prospective pilot casecontrol","46","Descriptive statistics; ROC","None","Moderate  exploratory; small sample","Serum soluble RAGE concentration","Hospitalized bronchiolitis vs healthy controls; ICU admission","Yes","No","Small cohort","No explicit causal framework","Other (non-modelling) approaches used"
"141","Serum soluble receptor for advanced glycation endproducts during acute bronchiolitis in infants: prognostic value","France","Prospective cohort","64","Spearman correlation; ROC","None","Moderate  single centre; small sample","Serial sRAGE levels; CRP","Need for respiratory support; length of stay","Yes","No","Limited power","No explicit causal framework","Other (non-modelling) approaches used"
"142","Serum resistin as a potential mortality predictor in neonatal sepsis","India (Lucknow)","Prospective cohort","112","Logistic regression; KaplanMeier; ROC","None","Moderate  single NICU; no validation","Admission serum resistin","28day mortality; septic shock","Yes","Inflammatory cytokines","Assay variability","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"143","Sensitivity and specificity of sTREM1, MRproADM and PCT in suspected severe bacterial infection in children","Italy (Milan)","Prospective diagnostic study","183","ROC; logistic regression","None","Moderate  multicentre; no external validation","sTREM1; MRproADM; PCT; CRP","Serious bacterial infection vs viral/selflimited","Yes","No","Variable reference standards","Diagnostic accuracy model","Other (non-modelling) approaches used; Logistic regression"
"144","Seeking diagnostic and prognostic biomarkers for childhood bacterial pneumonia in subSaharan Africa","Mozambique and Malawi","Prospective cohort with nested casecontrol","300","Random Forest; LASSO; ROC","10fold crossvalidation","Moderate  biomarker discovery","Plasma protein panel (e.g., LCN2, CRP, IL6)","Bacterial vs viral pneumonia; mortality","Yes","No","Spectrum bias","No explicit causal framework","Random forest; Penalised regression; Other (non-modelling) approaches used"
"145","Routine laboratory tests to assess the need of respiratory support in acute bronchiolitis","Spain (Madrid)","Retrospective cohort","296","Multivariate logistic regression","None","High  retrospective; no validation","Hemogram indices; NLR; CRP; sodium","Need for highflow oxygen/CPAP","Yes","No","Single centre; missing values","No explicit causal framework","Logistic regression"
